Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_vs3,cp_vs2,cp_vs2_edges,cmp_vd_vs2,cmp_vs3_vs2,cp_rs1,cp_rs2,cp_rs2_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,std_vec,cp_custom_vwholeRegLS_vill,cp_custom_vwholeRegLS_lmul,cp_custom_maskLS,cp_custom_ls_indexed_truncated,cp_custom_ffLS_update_vl,cp_custom_indexed_emul_data_only,cp_custom_ffLS,cp_custom_indexed_overlap,cp_custom_ordered_index_overlap
vlsseg6e64.v,VLSSEG,x,x,,,,x,x,lte26,,,,,,nx0,x,ls_e64,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vlsseg7e8.v,VLSSEG,x,x,x,x,x,x,x,lte25,,,,,,nx0,x,ls_e8,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vlsseg7e16.v,VLSSEG,x,x,,x,x,x,x,lte25,,,,,,nx0,x,ls_e16,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vlsseg7e32.v,VLSSEG,x,x,,,x,x,x,lte25,,,,,,nx0,x,ls_e32,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vlsseg7e64.v,VLSSEG,x,x,,,,x,x,lte25,,,,,,nx0,x,ls_e64,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vlsseg8e8.v,VLSSEG,x,x,x,x,x,x,x,lte24,,,,,,nx0,x,ls_e8,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vlsseg8e16.v,VLSSEG,x,x,,x,x,x,x,lte24,,,,,,nx0,x,ls_e16,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vlsseg8e32.v,VLSSEG,x,x,,,x,x,x,lte24,,,,,,nx0,x,ls_e32,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vlsseg8e64.v,VLSSEG,x,x,,,,x,x,lte24,,,,,,nx0,x,ls_e64,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vluxei8.v,VLUX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e8,e8,x,x,,,,,,,,eew8,
vluxei16.v,VLUX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e16,e16,x,x,,,,,,,,eew16,
vluxei32.v,VLUX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e32,e32,x,x,,,,,,,,eew32,
vluxei64.v,VLUX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e64,e64,x,x,,,,x,,,,eew64,
vluxseg2ei8.v,VLUXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e8_emul4max,e8_emul4max,x,x,,,,,,x,,,
vluxseg2ei16.v,VLUXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e16_emul4max,e16_emul4max,x,x,,,,,,x,,,
vluxseg2ei32.v,VLUXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e32_emul4max,e32_emul4max,x,x,,,,,,sew_ge16,,,
vluxseg2ei64.v,VLUXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e64_emul4max,e64_emul4max,x,x,,,,x,,sew_ge32,,,
vluxseg3ei8.v,VLUXSEG,x,x,x,x,x,x,x,lte29,,x,ls,,,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,
