Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_vs3,cp_vs2,cp_vs2_edges,cmp_vd_vs2,cmp_vs3_vs2,cp_rs1,cp_rs2,cp_rs2_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,std_vec,cp_custom_vwholeRegLS_vill,cp_custom_vwholeRegLS_lmul,cp_custom_maskLS,cp_custom_ls_indexed_truncated,cp_custom_ffLS_update_vl,cp_custom_indexed_emul_data_only,cp_custom_ffLS,cp_custom_indexed_overlap,cp_custom_ordered_index_overlap
vloxseg7ei32.v,VLOXSEG,x,x,x,x,x,x,x,lte25,,x,ls,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,x
vloxseg7ei64.v,VLOXSEG,x,x,x,x,x,x,x,lte25,,x,ls,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,x
vloxseg8ei8.v,VLOXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,x,,,x
vloxseg8ei16.v,VLOXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,x,,,x
vloxseg8ei32.v,VLOXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,x,,,x
vloxseg8ei64.v,VLOXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,x,,,x
vse8.v,VSUS,x,x,x,x,x,x,x,,x,,,,,nx0,,,x,e8,e8,x,x,,,,,,,,,
vse16.v,VSUS,x,x,x,x,x,x,x,,x,,,,,nx0,,,x,e16,e16,x,x,,,,,,,,,
vse32.v,VSUS,x,x,x,x,x,x,x,,x,,,,,nx0,,,x,e32,e32,x,x,,,,,,,,,
vse64.v,VSUS,x,x,x,x,x,x,x,,x,,,,,nx0,,,x,e64,e64,x,x,,,,,,,,,
vsseg2e8.v,VSSEG,x,x,x,x,x,x,x,,lte30,,,,,nx0,,,x,e8_emul4max,e8_emul4max,x,x,,,,,,,,,
vsseg2e16.v,VSSEG,x,x,x,x,x,x,x,,lte30,,,,,nx0,,,x,e16_emul4max,e16_emul4max,x,x,,,,,,,,,
vsseg2e32.v,VSSEG,x,x,x,x,x,x,x,,lte30,,,,,nx0,,,x,e32_emul4max,e32_emul4max,x,x,,,,,,,,,
vsseg2e64.v,VSSEG,x,x,,x,x,x,x,,lte30,,,,,nx0,,,x,e64_emul4max,e64_emul4max,x,x,,,,,,,,,
vsseg3e8.v,VSSEG,x,x,x,x,x,x,x,,lte29,,,,,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,
vsseg3e16.v,VSSEG,x,x,x,x,x,x,x,,lte29,,,,,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,
vsseg3e32.v,VSSEG,x,x,,x,x,x,x,,lte29,,,,,nx0,,,x,e32_emul2max,e32_emul2max,x,,,,,,,,,,
vsseg3e64.v,VSSEG,x,x,,,x,x,x,,lte29,,,,,nx0,,,x,e64_emul2max,e64_emul2max,x,,,,,,,,,,
vsseg4e8.v,VSSEG,x,x,x,x,x,x,x,,lte28,,,,,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,
vsseg4e16.v,VSSEG,x,x,x,x,x,x,x,,lte28,,,,,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,
vsseg4e32.v,VSSEG,x,x,,x,x,x,x,,lte28,,,,,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,,,,
vsseg4e64.v,VSSEG,x,x,,,x,x,x,,lte28,,,,,nx0,,,x,e64_emul2max,e64_emul2max,x,x,,,,,,,,,
vsseg5e8.v,VSSEG,x,x,x,x,x,x,x,,lte27,,,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vsseg5e16.v,VSSEG,x,x,,x,x,x,x,,lte27,,,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vsseg5e32.v,VSSEG,x,x,,,x,x,x,,lte27,,,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vsseg5e64.v,VSSEG,x,x,,,,x,x,,lte27,,,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vsseg6e8.v,VSSEG,x,x,x,x,x,x,x,,lte26,,,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vsseg6e16.v,VSSEG,x,x,,x,x,x,x,,lte26,,,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vsseg6e32.v,VSSEG,x,x,,,x,x,x,,lte26,,,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vsseg6e64.v,VSSEG,x,x,,,,x,x,,lte26,,,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vsseg7e8.v,VSSEG,x,x,x,x,x,x,x,,lte25,,,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vsseg7e16.v,VSSEG,x,x,,x,x,x,x,,lte25,,,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vsseg7e32.v,VSSEG,x,x,,,x,x,x,,lte25,,,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vsseg7e64.v,VSSEG,x,x,,,,x,x,,lte25,,,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vsseg8e8.v,VSSEG,x,x,x,x,x,x,x,,lte24,,,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vsseg8e16.v,VSSEG,x,x,,x,x,x,x,,lte24,,,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vsseg8e32.v,VSSEG,x,x,,,x,x,x,,lte24,,,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vsseg8e64.v,VSSEG,x,x,,,,x,x,,lte24,,,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vsse8.v,VSS,x,x,x,x,x,x,x,,x,,,,,nx0,x,ls_e8,x,e8,e8,x,x,,,,,,,,,
vsse16.v,VSS,x,x,x,x,x,x,x,,x,,,,,nx0,x,ls_e16,x,e16,e16,x,x,,,,,,,,,
vsse32.v,VSS,x,x,x,x,x,x,x,,x,,,,,nx0,x,ls_e32,x,e32,e32,x,x,,,,,,,,,
vsse64.v,VSS,x,x,x,x,x,x,x,,x,,,,,nx0,x,ls_e64,x,e64,e64,x,x,,,,,,,,,
vssseg2e8.v,VSSSEG,x,x,x,x,x,x,x,,lte30,,,,,nx0,x,ls_e8,x,e8_emul4max,e8_emul4max,x,x,,,,,,,,,
vssseg2e16.v,VSSSEG,x,x,x,x,x,x,x,,lte30,,,,,nx0,x,ls_e16,x,e16_emul4max,e16_emul4max,x,x,,,,,,,,,
vssseg2e32.v,VSSSEG,x,x,x,x,x,x,x,,lte30,,,,,nx0,x,ls_e32,x,e32_emul4max,e32_emul4max,x,x,,,,,,,,,
vssseg2e64.v,VSSSEG,x,x,,x,x,x,x,,lte30,,,,,nx0,x,ls_e64,x,e64_emul4max,e64_emul4max,x,x,,,,,,,,,
vssseg3e8.v,VSSSEG,x,x,x,x,x,x,x,,lte29,,,,,nx0,x,ls_e8,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,
vssseg3e16.v,VSSSEG,x,x,x,x,x,x,x,,lte29,,,,,nx0,x,ls_e16,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,
vssseg3e32.v,VSSSEG,x,x,,x,x,x,x,,lte29,,,,,nx0,x,ls_e32,x,e32_emul2max,e32_emul2max,x,x,,,,,,,,,
vssseg3e64.v,VSSSEG,x,x,,,x,x,x,,lte29,,,,,nx0,x,ls_e64,x,e64_emul2max,e64_emul2max,x,x,,,,,,,,,
vssseg4e8.v,VSSSEG,x,x,x,x,x,x,x,,lte28,,,,,nx0,x,ls_e8,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,
vssseg4e16.v,VSSSEG,x,x,x,x,x,x,x,,lte28,,,,,nx0,x,ls_e16,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,
vssseg4e32.v,VSSSEG,x,x,,x,x,x,x,,lte28,,,,,nx0,x,ls_e32,x,e32_emul2max,e32_emul2max,x,x,,,,,,,,,
vssseg4e64.v,VSSSEG,x,x,,,x,x,x,,lte28,,,,,nx0,x,ls_e64,x,e64_emul2max,e64_emul2max,x,x,,,,,,,,,
vssseg5e8.v,VSSSEG,x,x,x,x,x,x,x,,lte27,,,,,nx0,x,ls_e8,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vssseg5e16.v,VSSSEG,x,x,,x,x,x,x,,lte27,,,,,nx0,x,ls_e16,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vssseg5e32.v,VSSSEG,x,x,,,x,x,x,,lte27,,,,,nx0,x,ls_e32,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vssseg5e64.v,VSSSEG,x,x,,,,x,x,,lte27,,,,,nx0,x,ls_e64,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vssseg6e8.v,VSSSEG,x,x,x,x,x,x,x,,lte26,,,,,nx0,x,ls_e8,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vssseg6e16.v,VSSSEG,x,x,,x,x,x,x,,lte26,,,,,nx0,x,ls_e16,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vssseg6e32.v,VSSSEG,x,x,,,x,x,x,,lte26,,,,,nx0,x,ls_e32,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vssseg6e64.v,VSSSEG,x,x,,,,x,x,,lte26,,,,,nx0,x,ls_e64,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vssseg7e8.v,VSSSEG,x,x,x,x,x,x,x,,lte25,,,,,nx0,x,ls_e8,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vssseg7e16.v,VSSSEG,x,x,,x,x,x,x,,lte25,,,,,nx0,x,ls_e16,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vssseg7e32.v,VSSSEG,x,x,,,x,x,x,,lte25,,,,,nx0,x,ls_e32,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vssseg7e64.v,VSSSEG,x,x,,,,x,x,,lte25,,,,,nx0,x,ls_e64,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vssseg8e8.v,VSSSEG,x,x,x,x,x,x,x,,lte24,,,,,nx0,x,ls_e8,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vssseg8e16.v,VSSSEG,x,x,,x,x,x,x,,lte24,,,,,nx0,x,ls_e16,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vssseg8e32.v,VSSSEG,x,x,,,x,x,x,,lte24,,,,,nx0,x,ls_e32,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vssseg8e64.v,VSSSEG,x,x,,,,x,x,,lte24,,,,,nx0,x,ls_e64,x,e64_emul1max,e64_emul1max,x,x,,,,,,,,,
vsuxei8.v,VSUX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e8,e8,x,x,,,,,,,,,
vsuxei16.v,VSUX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e16,e16,x,x,,,,,,,,,
vsuxei32.v,VSUX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e32,e32,x,x,,,,,,,,,
vsuxei64.v,VSUX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e64,e64,x,x,,,,x,,,,,
vsuxseg2ei8.v,VSUXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e8_emul4max,e8_emul4max,x,x,,,,,,x,,,
vsuxseg2ei16.v,VSUXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e16_emul4max,e16_emul4max,x,x,,,,,,x,,,
vsuxseg2ei32.v,VSUXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e32_emul4max,e32_emul4max,x,x,,,,,,sew_ge16,,,
vsuxseg2ei64.v,VSUXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e64_emul4max,e64_emul4max,x,x,,,,x,,sew_ge32,,,
vsuxseg3ei8.v,VSUXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,
vsuxseg3ei16.v,VSUXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,
vsuxseg3ei32.v,VSUXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,,,,
vsuxseg3ei64.v,VSUXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e64_emul2max,e64_emul2max,x,x,,,,x,,,,,
vsuxseg4ei8.v,VSUXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,x,,,
vsuxseg4ei16.v,VSUXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,x,,,
vsuxseg4ei32.v,VSUXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,x,,,
vsuxseg4ei64.v,VSUXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e64_emul2max,e64_emul2max,x,x,,,,x,,sew_ge16,,,
vsuxseg5ei8.v,VSUXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vsuxseg5ei16.v,VSUXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vsuxseg5ei32.v,VSUXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vsuxseg5ei64.v,VSUXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,
vsuxseg6ei8.v,VSUXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vsuxseg6ei16.v,VSUXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vsuxseg6ei32.v,VSUXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vsuxseg6ei64.v,VSUXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,
vsuxseg7ei8.v,VSUXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vsuxseg7ei16.v,VSUXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vsuxseg7ei32.v,VSUXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vsuxseg7ei64.v,VSUXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,
vsuxseg8ei8.v,VSUXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,x,,,
vsuxseg8ei16.v,VSUXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,x,,,
vsuxseg8ei32.v,VSUXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,x,,,
vsuxseg8ei64.v,VSUXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,x,,,
vsoxei8.v,VSOX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e8,e8,x,x,,,,,,,,,x
vsoxei16.v,VSOX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e16,e16,x,x,,,,,,,,,x
vsoxei32.v,VSOX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e32,e32,x,x,,,,,,,,,x
vsoxei64.v,VSOX,x,x,x,x,x,x,x,,x,x,ls,,eew_eq_sew,nx0,,,x,e64,e64,x,x,,,,x,,,,,x
vsoxseg2ei8.v,VSOXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e8_emul4max,e8_emul4max,x,x,,,,,,x,,,x
vsoxseg2ei16.v,VSOXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e16_emul4max,e16_emul4max,x,x,,,,,,x,,,x
vsoxseg2ei32.v,VSOXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e32_emul4max,e32_emul4max,x,x,,,,,,sew_ge16,,,x
vsoxseg2ei64.v,VSOXSEG,x,x,x,x,x,x,x,,lte30,x,ls,,eew_eq_sew_lte30,nx0,,,x,e64_emul4max,e64_emul4max,x,x,,,,x,,sew_ge32,,,x
vsoxseg3ei8.v,VSOXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,x
vsoxseg3ei16.v,VSOXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,x
vsoxseg3ei32.v,VSOXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,,,,x
vsoxseg3ei64.v,VSOXSEG,x,x,x,x,x,x,x,,lte29,x,ls,,eew_eq_sew_lte29,nx0,,,x,e64_emul2max,e64_emul2max,x,x,,,,x,,,,,x
vsoxseg4ei8.v,VSOXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,x,,,x
vsoxseg4ei16.v,VSOXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,x,,,x
vsoxseg4ei32.v,VSOXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,x,,,x
vsoxseg4ei64.v,VSOXSEG,x,x,x,x,x,x,x,,lte28,x,ls,,eew_eq_sew_lte28,nx0,,,x,e64_emul2max,e64_emul2max,x,x,,,,x,,sew_ge16,,,x
vsoxseg5ei8.v,VSOXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,x
vsoxseg5ei16.v,VSOXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,x
vsoxseg5ei32.v,VSOXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,x
vsoxseg5ei64.v,VSOXSEG,x,x,x,x,x,x,x,,lte27,x,ls,,eew_eq_sew_lte27,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,x
vsoxseg6ei8.v,VSOXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,x
vsoxseg6ei16.v,VSOXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,x
vsoxseg6ei32.v,VSOXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,x
vsoxseg6ei64.v,VSOXSEG,x,x,x,x,x,x,x,,lte26,x,ls,,eew_eq_sew_lte26,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,x
vsoxseg7ei8.v,VSOXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,x
vsoxseg7ei16.v,VSOXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,x
vsoxseg7ei32.v,VSOXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,x
vsoxseg7ei64.v,VSOXSEG,x,x,x,x,x,x,x,,lte25,x,ls,,eew_eq_sew_lte25,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,x
vsoxseg8ei8.v,VSOXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,x,,,x
vsoxseg8ei16.v,VSOXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,x,,,x
vsoxseg8ei32.v,VSOXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,x,,,x
vsoxseg8ei64.v,VSOXSEG,x,x,x,x,x,x,x,,lte24,x,ls,,eew_eq_sew_lte24,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,x,,,x
vl1re8.v,VLR,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vl2re8.v,VLR,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x,x,x,x,,,,,,,
vl4re8.v,VLR,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x,x,x,x,,,,,,,
vl8re8.v,VLR,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x,x,x,x,,,,,,,
vl1re16.v,VLR,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vl2re16.v,VLR,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x,x,x,x,,,,,,,
vl4re16.v,VLR,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x,x,x,x,,,,,,,
vl8re16.v,VLR,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x,x,x,x,,,,,,,
vl1re32.v,VLR,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vl2re32.v,VLR,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x,x,x,x,,,,,,,
vl4re32.v,VLR,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x,x,x,x,,,,,,,
vl8re32.v,VLR,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x,x,x,x,,,,,,,
vl1re64.v,VLR,x,x,x,x,x,x,x,x,,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vl2re64.v,VLR,x,x,x,x,x,x,x,emul2,,,,,,nx0,,,,lmul4max,lmul4max_nomask,x,x,x,x,,,,,,,
vl4re64.v,VLR,x,x,x,x,x,x,x,emul4,,,,,,nx0,,,,lmul2max,lmul2max_nomask,x,x,x,x,,,,,,,
vl8re64.v,VLR,x,x,x,x,x,x,x,emul8,,,,,,nx0,,,,lmul1max,lmul1max_nomask,x,x,x,x,,,,,,,
vs1r.v,VSR,x,x,x,x,x,x,x,,x,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vs2r.v,VSR,x,x,x,x,x,x,x,,emul2,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vs4r.v,VSR,x,x,x,x,x,x,x,,emul4,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vs8r.v,VSR,x,x,x,x,x,x,x,,emul8,,,,,nx0,,,,x,nomask,x,x,x,x,,,,,,,
vsm.v,VSM,x,x,x,x,x,x,x,,x,,,,,nx0,,,,nomask,nomask,x,x,,,x,,,,,,
vlm.v,VLM,x,x,x,x,x,x,x,x,,,,,,nx0,,,,nomask,nomask,x,x,,,x,,,,,,
