Instruction,Type,RV32,RV64,cp_asm_count,cp_fs1,cp_fd,cp_fs1_edges,cmp_fd_fs1,cp_frm,cp_csr_fflags,cp_csr_frm,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB
fcvt.d.h,FI,x,x,x,x,x,H,x,,v,,,D_H,
fcvt.h.d,FI,x,x,x,x,x,frm_D,x,2,voun,x,D_H,,
fcvt.h.s,FI,x,x,,,,,,,,,D_H,,
fcvt.s.h,FI,x,x,,,,,,,,,,D_H,
flh,FL,x,x,,,,,,,,,D_H,,
fmv.h.x,X2F,x,x,,,,,,,,,D_H,,
fmv.x.h,F2X,x,x,,,,,,,,,,D_H,
fsh,FS,x,x,,,,,,,,,,,D_H
