Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_imm_5bit,cp_vs3,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cr_vxrm_vs2_vs1_edges,cp_rs1_edges,cr_vs2_rs1_edges,cr_vxrm_vs2_rs1_edges,cr_vs2_imm_edges,cr_vxrm_vs2_imm_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,std_vec,cp_custom
vandn.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,
vandn.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,
vbrev.v,VV,x,x,x,x,x,x,x,x,,x,,,,,,x,,,,x,,,,,,,,,x,x,x,x,,
vbrev8.v,VV,x,x,x,x,x,x,x,x,,x,,,,,,x,,,,x,,,,,,,,,x,x,x,x,,
vrev8.v,VV,x,x,x,x,x,x,x,x,,x,,,,,,x,,,,x,,,,,,,,,x,x,x,x,,
vclz.v,VV,x,x,x,x,x,x,x,x,,x,,,,,,x,,,,x,,,,,,,,,x,x,x,x,,
vctz.v,VV,x,x,x,x,x,x,x,x,,x,,,,,,x,,,,x,,,,,,,,,x,x,x,x,,
vcpop.v,VV,x,x,x,x,x,x,x,x,,x,,,,,,x,,,,x,,,,,,,,,x,x,x,x,,
vrol.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,
vrol.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,
vror.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,,
vror.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,,
vror.vi,VVI,x,x,x,x,x,x,x,x,,x,,,,u,,x,,,,x,,,,,,,u,,x,x,x,x,,
vwsll.vv,WVV,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,x,wvv_all
vwsll.vx,WVX,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,x,wvx_all
vwsll.vi,WVI,x,x,x,x,x,,x,emul2,,x,,,,u,,,,,,x,,,,,,,u,,x,lmul4max,lmul4max,x,x,wvx_all
