Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_fd,cp_vs2,cp_vs1,cp_fs1,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cp_fs1_edges,cr_vs2_fs1_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_fflags,cp_csr_frm,std_vec,cp_custom_vfp_state,cp_custom_vfncvt_rup_overflow,cp_custom_FpRecSqrtEst_flag_edges,cp_custom_FpRecipEst_flag_edges,cp_custom_FpRecSqrtEst_edges,cp_custom_FpRecipEst_edges,cp_custom_vfp_NaN_input,cp_custom_vfclass_onehot,cp_custom_vfncvt_rod_overflow,cp_custom_vfredosum_ordered_sum,cp_custom_vfredosum_NAN_vl0,cp_custom_fmv_sf_vd_all_lmul,cp_custom_fmv_fs_vs2_all_lmul,cp_custom_vfp_flags_set,cp_custom_vfp_flags,cp_custom_vfp_flags_inactive_not_set,cp_custom
vfnmacc.vf,FVVF_ACC,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfmsac.vv,FVVV_ACC,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfmsac.vf,FVVF_ACC,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfnmsac.vv,FVVV_ACC,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfnmsac.vf,FVVF_ACC,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfmadd.vv,FVVV_ACC,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfmadd.vf,FVVF_ACC,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfnmadd.vv,FVVV_ACC,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfnmadd.vf,FVVF_ACC,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfmsub.vv,FVVV_ACC,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfmsub.vf,FVVF_ACC,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfnmsub.vv,FVVV_ACC,x,x,,x,x,x,x,x,,x,x,,x,x,x,x,f,f,f,,,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfnmsub.vf,FVVF_ACC,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,voun,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwmacc.vv,FWVV_ACC,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwmacc.vf,FWVF_ACC,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwnmacc.vv,FWVV_ACC,x,x,,x,x,,x,emul2,,x,x,,,,x,,f,f,f,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
vfwnmacc.vf,FWVF_ACC,x,x,,x,x,,x,emul2,,x,,x,,,,,f,,,v,x,x,lmul4max,lmul4max,x,vn,v,x,,,,,,,x,,,,,,,x,nv_nx,,
