Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs1_edges,cr_rs1_imm_edges,cp_offset,cp_imm_edges
beqi,BI,x,x,x,x,x,5bit_u_n0_offset,x,5bit_u_n0
bnei,BI,x,x,x,x,x,5bit_u_n0_offset,x,5bit_u_n0
