Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl
vwmul.vv,WVV,x,x,x,x,x,,x,x,x
vwmul.vx,WVX,x,x,x,x,x,,x,x,x
vwmulu.vv,WVV,x,x,x,x,x,,x,x,x
vwmulu.vx,WVX,x,x,x,x,x,,x,x,x
vwmulsu.vv,WVV,x,x,x,x,x,,x,x,x
vwmulsu.vx,WVX,x,x,x,x,x,,x,x,x
vdiv.vv,VVV,x,x,x,x,x,x,x,x,x
vdiv.vx,VVX,x,x,x,x,x,x,x,x,x
vdivu.vv,VVV,x,x,x,x,x,x,x,x,x
vdivu.vx,VVX,x,x,x,x,x,x,x,x,x
vrem.vv,VVV,x,x,x,x,x,x,x,x,x
vrem.vx,VVX,x,x,x,x,x,x,x,x,x
vremu.vv,VVV,x,x,x,x,x,x,x,x,x
vremu.vx,VVX,x,x,x,x,x,x,x,x,x
vmacc.vv,VVV_ACC,x,x,x,x,x,x,x,x,x
vmacc.vx,VVX_ACC,x,x,x,x,x,x,x,x,x
vnmsac.vv,VVV_ACC,x,x,x,x,x,x,x,x,x
vnmsac.vx,VVX_ACC,x,x,x,x,x,x,x,x,x
vmadd.vv,VVV_ACC,x,x,x,x,x,x,x,x,x
vmadd.vx,VVX_ACC,x,x,x,x,x,x,x,x,x
vnmsub.vv,VVV_ACC,x,x,x,x,x,x,x,x,x
vnmsub.vx,VVX_ACC,x,x,x,x,x,x,x,x,x
vwmacc.vv,WVV_ACC,x,x,x,x,x,,x,x,x
vwmacc.vx,WVX_ACC,x,x,x,x,x,,x,x,x
vwmaccu.vv,WVV_ACC,x,x,x,x,x,,x,x,x
vwmaccu.vx,WVX_ACC,x,x,x,x,x,,x,x,x
vwmaccsu.vv,WVV_ACC,x,x,x,x,x,,x,x,x
vwmaccsu.vx,WVX_ACC,x,x,x,x,x,,x,x,x
vwmaccus.vx,WVX_ACC,x,x,x,x,x,,x,x,x
vmerge.vvm,VVVM,x,x,x,x,x,x,x,x,x
vmerge.vxm,VVXM,x,x,x,x,x,x,x,x,x
vmerge.vim,VVIM,x,x,x,x,x,x,x,x,x
vmv.v.v,VMVVV,x,x,x,x,x,x,x,x,x
vmv.v.x,VMVVX,x,x,x,x,x,x,x,x,x
vmv.v.i,VMVVI,x,x,x,x,x,x,x,x,x
vsadd.vv,VVV_SAT,x,x,x,x,x,x,x,x,x
vsadd.vx,VVX_SAT,x,x,x,x,x,x,x,x,x
vsadd.vi,VVI_SAT,x,x,x,x,x,x,x,x,x
vsaddu.vv,VVV_SAT,x,x,x,x,x,x,x,x,x
vsaddu.vx,VVX_SAT,x,x,x,x,x,x,x,x,x
