Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_vill,cp_vstart,cp_vstart_gt_vl,cp_mstatus_vs_off,cp_mstatus_fs_off,cp_vectorfp_mstatus_fs_state,cp_vectorfp_mstatus_fs_state_nonaffecting,cp_vectorfp_mstatus_fs_state_affecting_register,cp_vectorfp_mstatus_fs_state_affecting_csr
vmflt.vv,FMVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmflt.vf,FMVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmfle.vv,FMVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmfle.vf,FMVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmfgt.vf,FMVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vmfge.vf,FMVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmerge.vfm,FVVFM,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmv.v.f,FVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmv.f.s,FFV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfmv.s.f,FVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfslide1up.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfslide1down.vf,FVVF,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfcvt.xu.f.v,FVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.xu.f.v,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.xu.f.w,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.x.f.v,FVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.x.f.v,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfncvt.x.f.w,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
vfcvt.rtz.xu.f.v,FVV,x,x,,x,x,x,x,x,x,x,x,x,x,x,x
vfwcvt.rtz.xu.f.v,FVV,x,x,,x,x,,x,x,x,x,x,x,x,x,x
