Instruction,Type,RV32,RV64,cp_ssstrictv_widening_source_overlap,cp_ssstrictv_vext2_overlapping_vd_vs2,cp_ssstrictv_vext4_overlapping_vd_vs2,cp_ssstrictv_vext8_overlapping_vd_vs2,cp_ssstrictv_vwiden_overlapping_vd_vs1_lmul1,cp_ssstrictv_vwiden_overlapping_vd_vs2_lmul1,cp_ssstrictv_vwidenw_overlapping_vd_vs1_lmul1,cp_ssstrictv_vnarrow_overlapping_vd_vs2,cp_ssstrictv_vrgather_vd_vs1_eq,cp_ssstrictv_vrgather_vd_vs2_eq,cp_ssstrictv_masking_vd_eq_v0,cp_ssstrictv_masking_vs2_eq_v0,cp_ssstrictv_masking_vs1_eq_v0,cp_ssstrictv_ls_seg_vd_overflow,cp_ssstrictv_ls_seg_idx_vd_vs2_overlap,cp_ssstrictv_ls_wr_nf_not_pow2,cp_ssstrictv_ls_wr_nreg2_vd_unaligned,cp_ssstrictv_ls_wr_nreg4_vd_unaligned,cp_ssstrictv_ls_wr_nreg8_vd_unaligned,cp_ssstrictv_vadc_vsbc_vm1_reserved,cp_ssstrictv_vmv_vs2_not_v0_reserved,cp_ssstrictv_vfmv_vs2_not_v0_reserved,cp_ssstrictv_mask_logical_vm0_reserved,cp_ssstrictv_vid_vs2_not_v0_reserved,cp_ssstrictv_vmv_xs_sx_vm0_reserved,cp_ssstrictv_vfmv_fs_sf_vm0_reserved,cp_ssstrictv_vslideup_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs2_overlap,cp_ssstrictv_vrgather_vd_vs1_overlap,cp_ssstrictv_vcompress_vd_vs2_overlap,cp_ssstrictv_vcompress_vd_v0_overlap,cp_ssstrictv_vmvnr_simm_reserved,cp_ssstrictv_vmv2r_reg_align,cp_ssstrictv_vmv4r_reg_align,cp_ssstrictv_vmv8r_reg_align,cp_ssstrictv_vslide1up_vd_vs2_overlap,cp_ssstrictv_reserved_vcsrs,cp_ssstrictv_ls_eew_lt_sewmin,cp_ssstrictv_ls_mew_reserved,cp_ssstrictv_vcompress_vm0_reserved,cp_exceptionsv_vd_vs2_overlap,cp_exceptionsv_vd_vs1_overlap
vloxseg3ei64.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg3ei8.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg4ei16.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg4ei32.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg4ei64.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg4ei8.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg5ei16.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg5ei32.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg5ei64.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg5ei8.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg6ei16.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg6ei32.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg6ei64.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg6ei8.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg7ei16.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg7ei32.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg7ei64.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg7ei8.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg8ei16.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg8ei32.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg8ei64.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vloxseg8ei8.v,VLOXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlse16.v,VLS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlse32.v,VLS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlse64.v,VLS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlse8.v,VLS,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e16.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e16ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e32.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e32ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e64.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e64ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e8.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg2e8ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e16.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e16ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e32.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e32ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e64.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e64ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e8.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg3e8ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e16.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e16ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e32.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e32ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e64.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e64ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e8.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg4e8ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e16.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e16ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e32.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e32ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e64.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e64ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e8.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg5e8ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e16.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e16ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e32.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e32ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e64.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e64ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e8.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg6e8ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e16.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e16ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e32.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e32ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e64.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e64ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e8.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg7e8ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e16.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e16ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e32.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e32ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e64.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e64ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e8.v,VLSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlseg8e8ff.v,VLSEGFF,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg2e16.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg2e32.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg2e64.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg2e8.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg3e16.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg3e32.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg3e64.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg3e8.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg4e16.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg4e32.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg4e64.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg4e8.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg5e16.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg5e32.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg5e64.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg5e8.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg6e16.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg6e32.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg6e64.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg6e8.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg7e16.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg7e32.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg7e64.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg7e8.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg8e16.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg8e32.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg8e64.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vlsseg8e8.v,VLSSEG,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxei16.v,VLUX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxei32.v,VLUX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxei64.v,VLUX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxei8.v,VLUX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg2ei16.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg2ei32.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg2ei64.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg2ei8.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg3ei16.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg3ei32.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg3ei64.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg3ei8.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg4ei16.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg4ei32.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg4ei64.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg4ei8.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg5ei16.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg5ei32.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg5ei64.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg5ei8.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg6ei16.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg6ei32.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg6ei64.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg6ei8.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg7ei16.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg7ei32.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg7ei64.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg7ei8.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg8ei16.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg8ei32.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg8ei64.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vluxseg8ei8.v,VLUXSEG,x,x,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,
vmacc.vv,VVV_ACC,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmacc.vx,VVX_ACC,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadc.vi,MVIC,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadc.vim,MVIM,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadc.vv,MVVC,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadc.vvm,MVVM,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadc.vx,MVXC,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadc.vxm,MVXM,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadd.vv,VVV_ACC,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmadd.vx,VVX_ACC,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmand.mm,MMM,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
vmandn.mm,MMM,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
vmax.vv,VVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmax.vx,VVX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmaxu.vv,VVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmaxu.vx,VVX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmerge.vim,VVIM,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmerge.vvm,VVVM,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmerge.vxm,VVXM,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfeq.vf,FMVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfeq.vv,FMVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfge.vf,FMVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfgt.vf,FMVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfle.vf,FMVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfle.vv,FMVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmflt.vf,FMVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmflt.vv,FMVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfne.vf,FMVF,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmfne.vv,FMVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmin.vv,VVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmin.vx,VVX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vminu.vv,VVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vminu.vx,VVX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmnand.mm,MMM,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
vmnor.mm,MMM,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
vmor.mm,MMM,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
vmorn.mm,MMM,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
vmsbc.vv,MVVC,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsbc.vvm,MVVM,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsbc.vx,MVXC,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsbc.vxm,MVXM,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsbf.m,MM,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
vmseq.vi,MVI,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmseq.vv,MVV,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmseq.vx,MVX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsgt.vi,MVI,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsgt.vx,MVX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsgtu.vi,MVI,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsgtu.vx,MVX,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmsif.m,MM,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
vmsle.vi,MVI,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
