Instruction,Type,RV32,RV64,cp_misalignv_ls_element_misaligned,cp_misalignv_ls_wholereg_misaligned
vlsseg5e64.v,VLSSEG,x,x,x,
vlsseg5e8.v,VLSSEG,x,x,x,
vlsseg6e16.v,VLSSEG,x,x,x,
vlsseg6e32.v,VLSSEG,x,x,x,
vlsseg6e64.v,VLSSEG,x,x,x,
vlsseg6e8.v,VLSSEG,x,x,x,
vlsseg7e16.v,VLSSEG,x,x,x,
vlsseg7e32.v,VLSSEG,x,x,x,
vlsseg7e64.v,VLSSEG,x,x,x,
vlsseg7e8.v,VLSSEG,x,x,x,
vlsseg8e16.v,VLSSEG,x,x,x,
vlsseg8e32.v,VLSSEG,x,x,x,
vlsseg8e64.v,VLSSEG,x,x,x,
vlsseg8e8.v,VLSSEG,x,x,x,
vluxei16.v,VLUX,x,x,x,
vluxei32.v,VLUX,x,x,x,
vluxei64.v,VLUX,x,x,x,
vluxei8.v,VLUX,x,x,x,
vluxseg2ei16.v,VLUXSEG,x,x,x,
vluxseg2ei32.v,VLUXSEG,x,x,x,
vluxseg2ei64.v,VLUXSEG,x,x,x,
vluxseg2ei8.v,VLUXSEG,x,x,x,
vluxseg3ei16.v,VLUXSEG,x,x,x,
vluxseg3ei32.v,VLUXSEG,x,x,x,
vluxseg3ei64.v,VLUXSEG,x,x,x,
vluxseg3ei8.v,VLUXSEG,x,x,x,
vluxseg4ei16.v,VLUXSEG,x,x,x,
vluxseg4ei32.v,VLUXSEG,x,x,x,
vluxseg4ei64.v,VLUXSEG,x,x,x,
vluxseg4ei8.v,VLUXSEG,x,x,x,
vluxseg5ei16.v,VLUXSEG,x,x,x,
vluxseg5ei32.v,VLUXSEG,x,x,x,
vluxseg5ei64.v,VLUXSEG,x,x,x,
vluxseg5ei8.v,VLUXSEG,x,x,x,
vluxseg6ei16.v,VLUXSEG,x,x,x,
vluxseg6ei32.v,VLUXSEG,x,x,x,
vluxseg6ei64.v,VLUXSEG,x,x,x,
vluxseg6ei8.v,VLUXSEG,x,x,x,
vluxseg7ei16.v,VLUXSEG,x,x,x,
vluxseg7ei32.v,VLUXSEG,x,x,x,
vluxseg7ei64.v,VLUXSEG,x,x,x,
vluxseg7ei8.v,VLUXSEG,x,x,x,
vluxseg8ei16.v,VLUXSEG,x,x,x,
vluxseg8ei32.v,VLUXSEG,x,x,x,
vluxseg8ei64.v,VLUXSEG,x,x,x,
vluxseg8ei8.v,VLUXSEG,x,x,x,
vs1r.v,VSR,x,x,x,x
vs2r.v,VSR,x,x,x,x
vs4r.v,VSR,x,x,x,x
vs8r.v,VSR,x,x,x,x
vse16.v,VSUS,x,x,x,
vse32.v,VSUS,x,x,x,
vse64.v,VSUS,x,x,x,
vse8.v,VSUS,x,x,x,
vsm.v,VSR,x,x,x,
vsoxei16.v,VSOX,x,x,x,
vsoxei32.v,VSOX,x,x,x,
vsoxei64.v,VSOX,x,x,x,
vsoxei8.v,VSOX,x,x,x,
vsoxseg2ei16.v,VSOXSEG,x,x,x,
vsoxseg2ei32.v,VSOXSEG,x,x,x,
vsoxseg2ei64.v,VSOXSEG,x,x,x,
vsoxseg2ei8.v,VSOXSEG,x,x,x,
vsoxseg3ei16.v,VSOXSEG,x,x,x,
vsoxseg3ei32.v,VSOXSEG,x,x,x,
vsoxseg3ei64.v,VSOXSEG,x,x,x,
vsoxseg3ei8.v,VSOXSEG,x,x,x,
vsoxseg4ei16.v,VSOXSEG,x,x,x,
vsoxseg4ei32.v,VSOXSEG,x,x,x,
vsoxseg4ei64.v,VSOXSEG,x,x,x,
vsoxseg4ei8.v,VSOXSEG,x,x,x,
vsoxseg5ei16.v,VSOXSEG,x,x,x,
vsoxseg5ei32.v,VSOXSEG,x,x,x,
vsoxseg5ei64.v,VSOXSEG,x,x,x,
vsoxseg5ei8.v,VSOXSEG,x,x,x,
vsoxseg6ei16.v,VSOXSEG,x,x,x,
vsoxseg6ei32.v,VSOXSEG,x,x,x,
vsoxseg6ei64.v,VSOXSEG,x,x,x,
vsoxseg6ei8.v,VSOXSEG,x,x,x,
vsoxseg7ei16.v,VSOXSEG,x,x,x,
vsoxseg7ei32.v,VSOXSEG,x,x,x,
vsoxseg7ei64.v,VSOXSEG,x,x,x,
vsoxseg7ei8.v,VSOXSEG,x,x,x,
vsoxseg8ei16.v,VSOXSEG,x,x,x,
vsoxseg8ei32.v,VSOXSEG,x,x,x,
vsoxseg8ei64.v,VSOXSEG,x,x,x,
vsoxseg8ei8.v,VSOXSEG,x,x,x,
vsse16.v,VSS,x,x,x,
vsse32.v,VSS,x,x,x,
vsse64.v,VSS,x,x,x,
vsse8.v,VSS,x,x,x,
vsseg2e16.v,VSSEG,x,x,x,
vsseg2e32.v,VSSEG,x,x,x,
